gsis_id,pff_id
00-0021997,1379
00-0022171,1380
00-0021998,1381
00-0022052,1382
00-0022128,1383
00-0022127,1384
00-0021941,1385
00-0021999,1386
00-0022089,1387
00-0022000,1388
00-0022001,1389
00-0021978,1390
00-0022129,1391
00-0022130,1392
00-0022131,1393
00-0022002,1394
00-0022132,1396
00-0021900,1397
00-0022090,1398
00-0022167,1399
00-0022003,1400
00-0022158,1405
00-0022054,1406
00-0022092,1407
00-0022004,1408
00-0022135,1409
00-0022093,1410
00-0022005,1411
00-0022006,1412
00-0021952,1413
00-0022094,1415
00-0022137,1416
00-0021980,1417
00-0021981,1418
00-0022007,1419
00-0022139,1421
00-0022055,1422
00-0022008,1423
00-0022009,1424
00-0022010,1426
00-0022180,1427
00-0022140,1428
00-0021955,1429
00-0022141,1430
00-0022142,1431
00-0021956,1432
00-0022011,1433
00-0022097,1436
00-0021891,1437
00-0021915,1439
00-0022057,1443
00-0022014,1444
00-0022143,1445
00-0021953,1446
00-0022059,1447
00-0022144,1448
00-0021982,1452
00-0022146,1454
00-0022147,1455
00-0022017,1458
00-0022168,1461
00-0021959,1462
00-0022100,1463
00-0021929,1465
00-0021922,1468
00-0022060,1469
00-0022101,1470
00-0022019,1471
00-0021983,1472
00-0022102,1473
00-0022021,1474
00-0022023,1477
00-0022149,1478
00-0021907,1479
00-0021973,1480
00-0022103,1481
00-0021911,1482
00-0022104,1483
00-0022150,1486
00-0021965,1487
00-0021974,1488
00-0022025,1491
00-0021960,1492
00-0022181,1494
00-0022169,1497
00-0022064,1499
00-0022065,1500
00-0022026,1502
00-0022029,1505
00-0021943,1507
00-0021901,1510
00-0021927,1511
00-0022067,1513
00-0021902,1515
00-0021906,1517
00-0022031,1518
00-0021940,1520
00-0021886,1524
00-0022034,1526
00-0021936,1527
00-0021934,1533
00-0022038,1534
00-0022039,1535
00-0021945,1537
00-0021903,1538
00-0021949,1539
00-0022040,1545
00-0022041,1548
00-0021931,1549
00-0021629,1554
00-0021709,1555
00-0021612,1564
00-0021484,1569
00-0021490,1574
00-0021613,1581
00-0021542,1582
00-0021493,1584
00-0021577,1585
00-0021578,1586
00-0021964,1588
00-0021684,1589
00-0021544,1590
00-0021763,1592
00-0021852,1596
00-0021546,1599
00-0021451,1600
00-0021525,1607
00-0021547,1609
00-0021574,1610
00-0021637,1612
00-0021755,1613
00-0021791,1614
00-0021460,1618
00-0021654,1619
00-0021750,1621
00-0021756,1623
00-0021503,1628
00-0021604,1632
00-0021504,1635
00-0021706,1637
00-0021583,1639
00-0021673,1647
00-0021508,1650
00-0021509,1654
00-0021488,1659
00-0021512,1662
00-0021780,1665
00-0021875,1667
00-0021403,1668
00-0021677,1674
00-0021616,1675
00-0021570,1676
00-0021707,1682
00-0021514,1685
00-0021813,1688
00-0021464,1692
00-0021678,1693
00-0021845,1695
